,Unnamed: 0,filename,domain,Complexity,Aesthetics,Orderliness,VA_PNG,VA_JPEG,elements,elem. types,visual complex,edge congestion,unique RGB,HSVcolours (avg Hue),HSVcolours (avg Saturation),HSVcolours (std Saturation),HSVcolours (avg Value),HSVcolours (std Value),HSVspectrum (HSV),HSVspectrum (Hue),HSVspectrum (Saturation),HSVspectrum (Value),Hassler-Susstrunk (dist A),Hassler-Susstrunk (std A),Hassler-Susstrunk (dist B),Hassler-Susstrunk (std B),Hassler-Susstrunk (dist RGYB),Hassler-Susstrunk (std RGYB),Hassler-Susstrunk (Colorfulness),Static clusters,DynamicCC (clusters),DynamicCC (avg cluster colors),QuadtreeDec (balance),QuadtreeDec (symmetry),QuadtreeDec (equilibrium),QuadtreeDec (leaves),whitespace,grid quality,count
0,0.0,www-vanartgallery-bc-ca-.png,culture,4.3333,3.8333,3.8333,1222645.0,1104785.0,11.0,4.0,441.66,0.155813953,12905.0,322.738182,0.151322939,0.2307866019999999,0.669889348,0.39909993,11149.0,11490.0,18182.0,256.0,9.798954264,23.77364266,9.632145589,20.45877434,13.74036875,31.36474985,35.48686047,3020.0,553.0,13.0,0.3111240289999999,0.479847119,0.999713772,2038.0,0.46433431,80.0,6.0
1,1.0,www-fine-arts-museum-be-en.png,culture,5.25,5.25,6.0,828090.0,689774.0,28.0,5.0,1261.0,0.180886963,12291.0,5.840060116,0.08598299,0.14394211,0.835446605,0.210734862,13923.0,9380.0,14046.0,256.0,7.61125,15.70477162,9.145554199,14.72265176,11.89841536,21.52664224,25.09616685,2832.0,696.0,14.0,0.5523228370000001,0.5905908089999999,0.999711649,2023.0,0.46189209,100.0,4.0
2,2.0,whitney-org-.png,culture,2.8,4.2,4.8,851551.0,675691.0,8.0,4.0,309.86,0.0982255269999999,17384.0,355.061607,0.180796413,0.251286324,0.73938751,0.360157811,18266.0,4418.0,10639.0,256.0,6.937028809,12.12494961,16.59487183,26.01194725,17.98644322,28.69905578,34.09498874,1468.0,928.0,13.0,0.537917903,0.468239468,0.999710361,2014.0,0.221443685,111.0,5.0
3,3.0,www-newarkmuseumart-org-.png,culture,5.0,3.25,3.25,827116.0,908296.0,27.0,5.0,1240.85,0.22808817,11077.0,9.842168376,0.197784997,0.272155667,0.828328869,0.262583545,11245.0,18000.0,18453.0,256.0,20.65199951,36.67539366,18.99357218,27.62106431,28.05816937,45.91304492,54.33049573,3315.0,512.0,14.0,0.905866384,0.5618856720000001,0.999791443,2797.0,0.3541080729999999,102.0,4.0
4,4.0,ogunquitmuseum-org-.png,culture,3.5,4.75,4.5,1342457.0,943746.0,2.0,3.0,62.92,0.15693904,33304.0,13.27535892,0.275948395,0.173520864,0.322019448,0.14236345,15469.0,3091.0,6243.0,253.0,18.08138509,15.32315677,14.6612557,11.26909431,23.27850737,19.02082069,26.00437291,626.0,806.0,15.0,0.920653322,0.612522571,0.999841313,3676.0,-0.01763265,43.0,4.0
5,5.0,www-bnf-fr-fr.png,culture,4.75,4.25,3.5,508568.0,603364.0,16.0,4.0,614.49,0.307969284,9743.0,16.92386446,0.126207364,0.210252441,0.8317185709999999,0.221236111,10498.0,10040.0,16776.0,256.0,6.701416828999999,11.38616558,16.47371297,27.79487118,17.78460589,30.03663813,35.3720199,2989.0,508.0,11.0,0.910035645,0.619984952,0.999726263,2131.0,0.532089844,93.0,4.0
6,6.0,dma-org-.png,culture,3.25,3.75,4.25,753419.0,640313.0,20.0,4.0,771.54,0.189576224,6394.0,8.044161987,0.070659925,0.194034783,0.8600514770000001,0.163196791,7351.0,16912.0,19625.0,256.0,7.818108724,25.6565938,7.274256998999999,22.68046216,10.67884071,34.24418446,37.44783667,3695.0,377.0,11.0,0.312961566,0.534426423,0.999500571,1168.0,0.716248372,106.0,4.0
7,7.0,www-amherst-edu-museums-mead-.png,culture,4.8,4.4,4.4,886418.0,779203.0,20.0,5.0,908.88,0.281822096,22203.0,21.37700758,0.214265277,0.293317693,0.570675261,0.3492882989999999,18845.0,8454.0,14087.0,256.0,7.730245768,12.21751457,13.43569499,19.97451489,15.50079351,23.41471561,28.06495367,2168.0,959.0,13.0,0.8865942659999999,0.514519124,0.999776329,2608.0,0.301442871,52.0,5.0
8,8.0,www-mta-ca-owens-index-php.png,culture,2.8,5.0,5.0,607773.0,571415.0,7.0,4.0,267.74,0.256826674,7291.0,0.961401583,0.139092814,0.284292107,0.72731041,0.273009314,7311.0,10491.0,13315.0,256.0,11.68141357,26.41400282,4.779368896,10.67388229,12.62132284,28.48914369,32.27554054,1614.0,390.0,12.0,0.615900893,0.507113381,0.999677716,1810.0,0.573360189,75.0,5.0
9,9.0,www-okeeffemuseum-org-.png,culture,3.0,4.6,4.8,645206.0,488537.0,10.0,4.0,377.96,0.11638429,17518.0,344.2867868,0.082156537,0.1682631789999999,0.793422175,0.25428113,15549.0,9747.0,15126.0,256.0,5.315765788,12.73428552,8.567242432,19.82066692,10.08241086,23.55888081,26.58360407,2044.0,802.0,12.0,0.401881637,0.496937467,0.99967006,1768.0,0.446837565,49.0,5.0
