news,health,gov,games,food,culture,target_metric,R2,mse,mae,rmse,n_train,n_val,time,epochs
1,0,0,0,0,0,Complexity,-493897.15625,1.1367084980010986,0.8551314473152161,1.0661653280258179,263,65,562.5707867145538,19
0,1,0,0,0,0,Complexity,-0.3067653477191925,0.6689125299453735,0.6726245880126953,0.8178707361221313,433,108,778.0842974185944,16
0,0,1,0,0,0,Complexity,-0.08298733085393906,0.7480913996696472,0.6794188618659973,0.8649227619171143,277,69,281.2198040485382,9
0,0,0,1,0,0,Complexity,0.026795348152518272,0.84528648853302,0.7350743412971497,0.9193946123123169,290,72,686.3618004322052,21
0,0,0,0,1,0,Complexity,0.07743066549301147,0.5620037913322449,0.591385543346405,0.7496691346168518,296,73,729.5767464637756,22
0,0,0,0,0,1,Complexity,0.013574945740401745,0.5906016230583191,0.6247942447662354,0.7685061097145081,597,149,864.9036998748779,13
1,1,0,0,0,0,Complexity,-0.13087403774261475,0.8490523099899292,0.7175639271736145,0.9214403629302979,696,173,871.1294679641724,11
1,0,1,0,0,0,Complexity,-0.17782746255397797,0.763839840888977,0.7098993062973022,0.8739793300628662,540,134,962.746022939682,16
1,0,0,1,0,0,Complexity,0.022593926638364792,0.82967609167099,0.7243990898132324,0.9108655452728271,552,138,618.0203642845154,10
1,0,0,0,1,0,Complexity,0.05245187133550644,0.7433311343193054,0.686933696269989,0.8621665239334106,558,139,1916.842039823532,31
1,0,0,0,0,1,Complexity,0.04699639603495598,0.6555361747741699,0.6360458135604858,0.8096519112586975,860,214,2495.6616191864014,26
0,1,1,0,0,0,Complexity,-0.1088840663433075,0.6565222144126892,0.6307600736618042,0.8102605938911438,710,177,1197.3598132133484,15
0,1,0,1,0,0,Complexity,-0.08865874260663986,0.7108326554298401,0.6675373315811157,0.8431089520454407,723,180,1373.4294514656067,17
0,1,0,0,1,0,Complexity,-0.03729453682899475,0.6141191720962524,0.6395820379257202,0.7836575508117676,728,182,1068.8032219409943,13
0,1,0,0,0,1,Complexity,-337669.25,0.7329246997833252,0.6851147413253784,0.8561102151870728,1030,257,1598.7226347923279,14
0,0,1,1,0,0,Complexity,-0.06823520362377167,0.6973150372505188,0.6617124676704407,0.8350539207458496,567,141,1007.8165249824524,16
0,0,1,0,1,0,Complexity,-0.04952632263302803,0.6881017684936523,0.6871652603149414,0.8295189738273621,572,143,829.8397517204285,13
0,0,1,0,0,1,Complexity,-0.03066060319542885,0.6332802176475525,0.6321086883544922,0.7957890629768372,874,218,1954.0301132202148,20
0,0,0,1,1,0,Complexity,-0.29728764295578003,0.8982739448547363,0.7684576511383057,0.9477731585502625,585,146,649.9040257930756,10
0,0,0,1,0,1,Complexity,-0.07152444124221802,0.7340534329414368,0.6965993642807007,0.8567692041397095,887,221,2269.1316368579865,23
0,0,0,0,1,1,Complexity,-0.20332176983356476,0.8228698372840881,0.727882444858551,0.9071217179298401,892,223,1099.0290260314941,11
1,1,1,0,0,0,Complexity,0.02440337836742401,0.6518535017967224,0.6139238476753235,0.8073744773864746,972,243,1411.617773771286,13
1,1,0,1,0,0,Complexity,-0.12831753492355347,0.784378707408905,0.7027626633644104,0.8856515884399414,985,246,988.5949671268463,9
1,1,0,0,1,0,Complexity,0.04311958700418472,0.7163522243499756,0.6675421595573425,0.8463759422302246,991,247,2745.937640428543,25
1,1,0,0,0,1,Complexity,-0.34539008140563965,0.7172001004219055,0.6766998767852783,0.8468766808509827,1292,323,1989.2981581687927,14
1,0,1,1,0,0,Complexity,-0.03897598013281822,0.7945283055305481,0.7402801513671875,0.8913631439208984,829,207,1193.8392779827118,13
1,0,1,0,1,0,Complexity,-0.14931590855121613,0.8140939474105835,0.7186396718025208,0.902271568775177,835,208,741.3336453437805,8
1,0,1,0,0,1,Complexity,-0.12144365906715393,0.7114140391349792,0.6577851176261902,0.8434536457061768,1136,284,1132.0795676708221,9
1,0,0,1,1,0,Complexity,-0.07367783784866333,0.728489875793457,0.6877086162567139,0.853516161441803,848,211,1142.3802318572998,12
1,0,0,1,0,1,Complexity,0.07525888085365295,0.7146105766296387,0.6961220502853394,0.8453464508056641,1149,287,3801.2711176872253,30
1,0,0,0,1,1,Complexity,-0.07089096307754517,0.765650749206543,0.7058366537094116,0.8750147223472595,1155,288,2173.5161101818085,17
0,1,1,1,0,0,Complexity,0.017602719366550446,0.7573240995407104,0.7012814283370972,0.8702437281608582,1000,249,1001.2717146873474,9
0,1,1,0,1,0,Complexity,-0.5551695227622986,1.00654137134552,0.8378168940544128,1.003265380859375,1005,251,1565.6560564041138,14
0,1,1,0,0,1,Complexity,-0.16281431913375854,0.6154385209083557,0.6340293288230896,0.7844988703727722,1307,326,3333.8407628536224,23
0,1,0,1,1,0,Complexity,-0.8573393225669861,1.3379606008529663,0.9562519788742065,1.1567025184631348,1018,254,1131.3676743507385,10
0,1,0,1,0,1,Complexity,-0.07967979460954666,0.7839232087135315,0.7054280042648315,0.8853943943977356,1320,329,3930.984934091568,27
0,1,0,0,1,1,Complexity,0.007537262048572302,0.6737408638000488,0.6520394682884216,0.8208171725273132,1325,331,2045.5781598091125,14
0,0,1,1,1,0,Complexity,-0.44638675451278687,1.0036031007766724,0.8129457831382751,1.0017999410629272,862,215,956.5965094566345,10
0,0,1,1,0,1,Complexity,-3.1001288890838623,0.8577885627746582,0.7553090453147888,0.9261687397956848,1164,290,1670.9419169425964,13
0,0,1,0,1,1,Complexity,-0.04775324463844299,0.6284201145172119,0.6668263673782349,0.7927295565605164,1169,292,1550.8766174316406,12
0,0,0,1,1,1,Complexity,-0.03759648650884628,0.7813794016838074,0.6940464973449707,0.8839566707611084,1182,295,1568.6675374507904,12
1,1,1,1,0,0,Complexity,-0.027488505467772484,0.727039635181427,0.6963180899620056,0.8526661992073059,1262,315,2233.0422534942627,16
1,1,1,0,1,0,Complexity,-0.3019769787788391,0.7722522616386414,0.7062298059463501,0.878778874874115,1268,316,2105.855131149292,15
1,1,1,0,0,1,Complexity,-0.026774641126394272,0.686851978302002,0.6572617292404175,0.828765332698822,1569,392,2465.8855180740356,14
1,1,0,1,1,0,Complexity,-0.1532592475414276,0.8585000038146973,0.7599756121635437,0.9265527725219727,1280,320,1832.4387328624725,13
1,1,0,1,0,1,Complexity,-0.007099188398569822,0.6938356757164001,0.6744349002838135,0.83296799659729,1582,395,2620.1156454086304,15
1,1,0,0,1,1,Complexity,0.01858813874423504,0.637867271900177,0.6209421753883362,0.7986659407615662,1588,396,3181.621205329895,18
1,0,1,1,1,0,Complexity,-0.22492609918117523,0.8457003831863403,0.7531957626342773,0.9196196794509888,1124,281,1494.3068034648895,12
1,0,1,1,0,1,Complexity,0.07958664745092392,0.6838188171386719,0.6584076881408691,0.8269333839416504,1426,356,3509.5366439819336,22
1,0,1,0,1,1,Complexity,-0.022051652893424034,0.6576673984527588,0.668688952922821,0.810966968536377,1432,357,3992.71946144104,25
1,0,0,1,1,1,Complexity,0.016862979158759117,0.7935465574264526,0.7165942192077637,0.8908122777938843,1444,361,3254.7176311016083,20
0,1,1,1,1,0,Complexity,-0.28950318694114685,0.739425778388977,0.6887970566749573,0.8598986864089966,1295,323,2424.6527948379517,17
0,1,1,1,0,1,Complexity,-0.1350191980600357,0.7379034161567688,0.673356831073761,0.859013020992279,1596,399,1438.2322251796722,8
0,1,1,0,1,1,Complexity,-0.05578600987792015,0.6929154396057129,0.683488130569458,0.8324154019355774,1602,400,2860.834360599518,16
0,1,0,1,1,1,Complexity,-0.006059527397155762,0.6399205327033997,0.6430381536483765,0.7999503016471863,1615,403,6454.800315141678,36
0,0,1,1,1,1,Complexity,-0.08418826013803482,0.6354941725730896,0.6485721468925476,0.7971788644790649,1459,364,3436.299259662628,21
1,1,1,1,1,0,Complexity,0.013982451520860195,0.6872203350067139,0.6685370802879333,0.8289875388145447,1557,389,4835.838571548462,28
1,1,1,1,0,1,Complexity,-0.19518540799617767,0.8321795463562012,0.7466447949409485,0.9122387766838074,1859,464,4299.416788339615,21
1,1,1,0,1,1,Complexity,0.00935211218893528,0.699004590511322,0.6549423336982727,0.8360649347305298,1864,466,3720.0308034420013,18
1,1,0,1,1,1,Complexity,-0.038421619683504105,0.7032933235168457,0.6708371639251709,0.8386258482933044,1877,469,5816.5202696323395,28
1,0,1,1,1,1,Complexity,-0.02755369059741497,0.7130285501480103,0.6784437894821167,0.8444101810455322,1721,430,4428.304273843765,23
0,1,1,1,1,1,Complexity,-0.19589345157146454,0.7786187529563904,0.6994735598564148,0.8823937773704529,1892,472,4413.112984418869,21
1,1,1,1,1,1,Complexity,0.044438425451517105,0.6260839700698853,0.6336125731468201,0.7912546992301941,2154,538,5712.110729217529,24
