,VA_PNG,VA_JPEG ,elements,elem. types,visual complex,edge congestion,unique RGB,HSVcolours (avg Hue),HSVcolours (avg Saturation),HSVcolours (std Saturation),HSVcolours (avg Value),HSVcolours (std Value),HSVspectrum (HSV),HSVspectrum (Hue),HSVspectrum (Saturation),HSVspectrum (Value),Hassler-Susstrunk (dist A),Hassler-Susstrunk (std A),Hassler-Susstrunk (dist B),Hassler-Susstrunk (std B),Hassler-Susstrunk (dist RGYB),Hassler-Susstrunk (std RGYB),Hassler-Susstrunk (Colorfulness),Static clusters,DynamicCC (clusters),DynamicCC (avg cluster colors),QuadtreeDec (balance),QuadtreeDec (symmetry),QuadtreeDec (equilibrium),QuadtreeDec (leaves),whitespace,grid quality,edge density,LABcolours (mean Lightness),LABcolours (std Lightness),LABcolours (mean A),LABcolours (std A),LABcolours (mean B),LABcolours (std B),Luminance std,FG contrast,pixel symmetry,Complexity
0,212055,629819,34.0,5.0,1520.85,0.431009774,2942.0,329.2697791,0.102865199,0.257415369,0.932667326,0.122579395,4287,10669,15920,256,11.06657838,28.78046629,16.02461054,40.99472775,19.47452952,50.08875067,55.93110952,2273.0,189,13,0.778485307,0.554589227,0.999601928,1639.0,0.571425919,126.0,0.112868452,89.80515684,17.42564864,0.848734741,4.089698764,-5.847945391,16.22256684,49.63104105,1.082907858,0.235039406,5.4
1,344994,761079,34.0,5.0,1542.41,0.277606889,4909.0,353.2248181,0.291959136,0.41039494,0.688872614,0.395021911,6489,40045,20205,256,23.46867084,47.76596194,17.80748143,35.04629103,29.45988638,59.24381517,68.08178108,6924.0,293,11,0.859054722,0.625282809,0.999741784,2533.0,0.416127834,69.0,0.113778342,63.64212729,41.58056847,7.081760846,20.22525437,1.203374785,19.35168242,109.9031036,0.992203751,0.525819173,6.0
2,442675,878269,18.0,3.0,563.29,0.205216974,2359.0,12.25915199,0.422295514,0.451652866,0.817514384,0.23509938,9706,32000,20115,256,47.08344801,59.23771715,54.5497889,66.6889158,72.05921554,89.19931964,110.8170843,5222.0,456,13,0.820000949,0.536186099,0.99968758,2086.0,0.378150899,49.0,0.118249609,70.55469261,28.05682855,16.21865501,22.90854681,21.63597975,29.44678369,78.43167885,1.007105767,0.388728035,4.0
3,1564913,1334780,3.0,2.0,61.04,0.188138392,31055.0,348.8106858,0.464517073,0.299065747,0.641739491,0.336390192,22089,19334,19238,256,31.43259676,23.00916365,40.43908669,25.46659429,51.21843292,34.32155353,49.68708341,5920.0,1040,14,0.860874054,0.651695899,0.999783801,3028.0,0.292701329,89.0,0.20039484,52.53395876,30.45475705,15.23681478,14.88395845,-1.531021654,25.33436724,76.8830839,1.102868129,0.685442355,2.75
4,813504,763074,12.0,3.0,371.67,0.337709182,10716.0,48.27196524,0.147699,0.239244112,0.75049749,0.300921577,11441,19000,18630,256,14.81010653,34.51251987,15.808944,27.4636062,21.66245521,44.10627725,50.60501381,3370.0,563,12,0.840621186,0.636583674,0.999732292,2440.0,0.63319097,78.0,0.112778538,72.23873413,31.60903425,2.399159544,14.2217626,4.660766569,13.87922513,81.32878061,1.01712453,1.11226164,3.2
5,978688,875509,6.0,2.0,118.44,0.193378162,14280.0,21.44983414,0.220359575,0.160994803,0.516349365,0.365716382,14313,9472,13688,256,9.164882721,13.92222719,13.65466575,13.33948825,16.44521122,19.28134738,24.21491074,2238.0,693,13,0.858040445,0.528379999,0.999729355,2410.0,0.306567631,79.0,0.223959148,49.657927,37.73198213,0.87541543,6.055305033,5.188277162,7.357693902,93.42168266,1.034801004,0.466595808,1.6667
6,387687,416333,16.0,5.0,693.51,0.27954023,6232.0,46.78139216,0.036584564,0.106588198,0.885377999,0.214197512,4874,4654,6780,256,3.182980844,4.024281659,1.652083659,4.284148836,3.586188432,5.877820525,6.953677055,852.0,248,12,0.078952389,0.504390869,0.999243506,859.0,0.795095778,58.0,0.104568022,88.59439497,21.80581036,-0.38512258,1.882530096,0.198632505,2.093443013,56.15919618,0.916010715,0.332199609,3.0
7,613347,579882,12.0,3.0,364.14,0.051184026,6727.0,349.5444117,0.174973862,0.269579691,0.704673611,0.315979275,8563,7408,15409,256,26.89996286,40.84561932,15.55687549,22.96534556,31.07449721,46.85906224,56.1814114,2196.0,419,13,0.405294918,0.533800491,0.999582067,1552.0,0.534830923,12.0,0.14144742,68.08563201,32.59084809,-3.066503583,15.23689268,-1.356436392,9.702463068,84.97632968,0.99485093,0.812761429,2.1667
8,1473288,1141091,19.0,2.0,382.32,0.286394882,12884.0,35.77323764,0.159481989,0.191313135,0.744704729,0.282855401,11242,8085,11475,255,8.947248827,12.54147964,14.18984314,11.30584183,16.77512772,16.88522345,21.91776177,1505.0,520,16,0.910035182,0.637475448,0.999799568,3238.0,0.352444292,129.0,0.254397967,72.84806023,29.7634019,1.869603148,5.103228094,6.408381329,5.431024088,76.76542777,0.976512454,0.658332699,2.1429
9,929460,826927,15.0,4.0,589.72,0.298265896,16273.0,14.39027285,0.117102656,0.208040546,0.714480887,0.313968533,14831,13914,16739,256,6.593992377,20.08729324,8.07942973,15.79619463,10.42870655,25.55423868,28.68285064,3500.0,744,13,0.788797207,0.564731433,0.999722382,2356.0,0.445879593,72.0,0.147069977,70.6537577,32.55318001,1.180238442,7.694942207,2.925173642,8.485234692,84.26555735,1.025163705,0.712836139,2.7143
